Week;Outlook;Humidity;Wind;Label
1;Rainy;High;Yes;0
2;Sunny;Normal;No;1
3;Sunny;Normal;Yes;1
4;Sunny;High;Yes;0
5;Rainy;Normal;Yes;0
6;Sunny;Normal;No;1
7;Rainy;High;No;0
8;Sunny;Normal;Yes;1
9;Sunny;High;No;1
10;Rainy;High;Yes;0
11;Sunny;Normal;No;1
12;Rainy;Normal;Yes;0
13;Sunny;Normal;Yes;1
14;Rainy;High;No;0
15;Sunny;Normal;No;1
16;Sunny;High;Yes;0
17;Rainy;Normal;Yes;0
18;Sunny;Normal;No;1
19;Rainy;High;Yes;0
20;Sunny;Normal;Yes;1
21;Sunny;High;No;1
22;Rainy;Normal;Yes;0
23;Sunny;Normal;No;1
24;Rainy;High;No;0
25;Sunny;Normal;Yes;1
26;Rainy;Normal;Yes;0
27;Sunny;Normal;No;1
28;Rainy;High;Yes;0
29;Sunny;High;No;1
30;Rainy;Normal;Yes;0
31;Sunny;Normal;No;1
32;Rainy;High;Yes;0
33;Sunny;Normal;Yes;1
34;Rainy;High;No;0
35;Sunny;Normal;No;1
36;Rainy;Normal;Yes;0
37;Sunny;High;Yes;0
38;Sunny;Normal;No;1
39;Rainy;High;Yes;0
40;Sunny;Normal;Yes;1
41;Rainy;Normal;Yes;0
42;Sunny;High;No;1
43;Rainy;High;Yes;0
44;Sunny;Normal;No;1
45;Rainy;Normal;Yes;0
46;Sunny;Normal;Yes;1
47;Rainy;High;No;0
48;Sunny;High;Yes;0
49;Sunny;Normal;No;1
50;Rainy;Normal;Yes;0
51;Sunny;Normal;Yes;1
52;Rainy;High;Yes;0
